geo_id,day,cases_weekly
ad,20200316,5
ad,20200323,108
ad,20200330,221
ad,20200406,167
ad,20200413,137
ad,20200420,75
ad,20200427,27
ad,20200504,8
ad,20200511,7
ad,20200518,6
ad,20200525,2
ad,20200601,1
ad,20200608,88
ad,20200615,1
ad,20200622,2
ad,20200629,0
ad,20200706,0
ad,20200713,0
ad,20200720,25
ad,20200727,17
ad,20200803,28
ad,20200810,31
ad,20200817,33
ad,20200824,56
ad,20200831,79
ad,20200907,91
ad,20200914,129
ad,20200921,220
ad,20200928,272
ad,20201005,274
ad,20201012,586
ad,20201019,681
ad,20201026,661
ad,20201102,787
ad,20201109,558
ad,20201116,489
ad,20201123,384
ad,20201130,456
ad,20201207,338
ad,20201214,288
ad,20201221,239
ad,20201228,10
ae,20200106,0
ae,20200113,0
ae,20200120,0
ae,20200127,1
ae,20200203,4
ae,20200210,2
ae,20200217,2
ae,20200224,4
ae,20200302,8
ae,20200309,24
ae,20200316,53
ae,20200323,55
ae,20200330,417
ae,20200406,1213
ae,20200413,2199
ae,20200420,2961
ae,20200427,3406
ae,20200504,3814
ae,20200511,4035
ae,20200518,5160
ae,20200525,6127
ae,20200601,5072
ae,20200608,4251
ae,20200615,3486
ae,20200622,2631
ae,20200629,2872
ae,20200706,3743
ae,20200713,3314
ae,20200720,2068
ae,20200727,1991
ae,20200803,2086
ae,20200810,1526
ae,20200817,1787
ae,20200824,2695
ae,20200831,2683
ae,20200907,4294
ae,20200914,5505
ae,20200921,5427
ae,20200928,6553
ae,20201005,7332
ae,20201012,7428
ae,20201019,9373
ae,20201026,9521
ae,20201102,8784
ae,20201109,8236
ae,20201116,8202
ae,20201123,8645
ae,20201130,8763
ae,20201207,8676
ae,20201214,8520
ae,20201221,8626
ae,20201228,8261
af,20200106,0
af,20200113,0
af,20200120,0
af,20200127,0
af,20200203,0
af,20200210,0
af,20200217,0
af,20200224,0
af,20200302,1
af,20200309,3
af,20200316,12
af,20200323,18
af,20200330,80
af,20200406,185
af,20200413,308
af,20200420,389
af,20200427,535
af,20200504,1173
af,20200511,1698
af,20200518,2262
af,20200525,3918
af,20200601,4623
af,20200608,5137
af,20200615,4424
af,20200622,4067
af,20200629,2134
af,20200706,1984
af,20200713,1500
af,20200720,1024
af,20200727,788
af,20200803,447
af,20200810,344
af,20200817,542
af,20200824,403
af,20200831,163
af,20200907,236
af,20200914,318
af,20200921,328
af,20200928,183
af,20201005,114
af,20201012,458
af,20201019,401
af,20201026,633
af,20201102,800
af,20201109,606
af,20201116,1164
af,20201123,1368
af,20201130,1073
af,20201207,1672
af,20201214,1757
af,20201221,740
af,20201228,1994
ag,20200323,1
ag,20200330,6
ag,20200406,8
ag,20200413,6
ag,20200420,2
ag,20200427,1
ag,20200504,1
ag,20200511,0
ag,20200518,0
ag,20200525,0
ag,20200601,0
ag,20200608,1
ag,20200615,0
ag,20200622,0
ag,20200629,39
ag,20200706,3
ag,20200713,6
ag,20200720,2
ag,20200727,6
ag,20200803,9
ag,20200810,1
ag,20200817,1
ag,20200824,1
ag,20200831,0
ag,20200907,1
ag,20200914,0
ag,20200921,1
ag,20200928,5
ag,20201005,6
ag,20201012,4
ag,20201019,8
ag,20201026,5
ag,20201102,4
ag,20201109,3
ag,20201116,3
ag,20201123,5
ag,20201130,2
ag,20201207,5
ag,20201214,2
ag,20201221,5
ag,20201228,5
ai,20200330,2
ai,20200406,1
ai,20200413,0
ai,20200420,0
ai,20200427,0
ai,20200504,0
ai,20200511,0
ai,20200518,0
ai,20200525,0
ai,20200601,0
ai,20200608,0
ai,20200615,0
ai,20200622,0
ai,20200629,0
ai,20200706,0
ai,20200713,0
ai,20200720,0
ai,20200727,0
ai,20200803,0
ai,20200810,0
ai,20200817,0
ai,20200824,0
ai,20200831,0
ai,20200907,0
ai,20200914,0
ai,20200921,0
ai,20200928,0
ai,20201005,0
ai,20201012,0
ai,20201019,0
ai,20201026,0
ai,20201102,0
ai,20201109,0
ai,20201116,0
ai,20201123,1
ai,20201130,0
ai,20201207,5
ai,20201214,1
ai,20201221,0
ai,20201228,3
al,20200309,2
al,20200316,40
al,20200323,47
al,20200330,123
al,20200406,149
al,20200413,85
al,20200420,116
al,20200427,164
al,20200504,69
al,20200511,73
al,20200518,78
al,20200525,52
al,20200601,139
al,20200608,109
al,20200615,275
al,20200622,406
al,20200629,475
al,20200706,491
al,20200713,561
al,20200720,636
al,20200727,673
al,20200803,756
al,20200810,892
al,20200817,969
al,20200824,1047
al,20200831,953
al,20200907,875
al,20200914,1098
al,20200921,1032
al,20200928,874
al,20201005,1007
al,20201012,1133
al,20201019,1656
al,20201026,2102
al,20201102,2045
al,20201109,3004
al,20201116,3624
al,20201123,4931
al,20201130,4864
al,20201207,5363
al,20201214,5542
al,20201221,4473
al,20201228,3569
am,20200106,0
am,20200113,0
am,20200120,0
am,20200127,0
am,20200203,0
am,20200210,0
am,20200217,0
am,20200224,0
am,20200302,1
am,20200309,0
am,20200316,27
am,20200323,166
am,20200330,288
am,20200406,351
am,20200413,206
am,20200420,300
am,20200427,469
am,20200504,699
am,20200511,885
am,20200518,1431
am,20200525,2290
am,20200601,2379
am,20200608,3833
am,20200615,3739
am,20200622,3524
am,20200629,4539
am,20200706,3809
am,20200713,3215
am,20200720,2830
am,20200727,2409
am,20200803,1712
am,20200810,1308
am,20200817,1253
am,20200824,1129
am,20200831,958
am,20200907,1033
am,20200914,1079
am,20200921,1569
am,20200928,1969
am,20201005,3096
am,20201012,3955
am,20201019,8243
am,20201026,14116
am,20201102,14638
am,20201109,14018
am,20201116,10420
am,20201123,8823
am,20201130,8415
am,20201207,7220
am,20201214,6338
am,20201221,5383
am,20201228,3883
ao,20200323,2
ao,20200330,5
ao,20200406,7
ao,20200413,5
ao,20200420,5
ao,20200427,2
ao,20200504,9
ao,20200511,10
ao,20200518,3
ao,20200525,21
ao,20200601,17
ao,20200608,5
ao,20200615,49
ao,20200622,36
ao,20200629,91
ao,20200706,79
ao,20200713,160
